,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UMD-JOHN SHERIDAN,5,1,1,1,0,0,0,0,0,0,1,0,0
UMD-MACK MORGAN,5,0,0,0,0,0,0,0,0,0,0,0,0
UVA-GATES YOUNG,3,3,2,0,0,0,0,0,0,0,1,0,0
UVA-JULIA MARKS,3,1,0,0,0,0,0,0,0,0,0,0,0
UVA-BEN PHILLIPS,2,2,0,0,0,0,0,0,0,0,0,0,0
UMD-DALE FARNAN,1,6,1,0,0,0,2,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,1,0,0,0,0,0,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-ABBY POTTER,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-ALEX GRIFFIN,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-STEVEN MUZYKA,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-DAVID LITTLETON,0,1,0,0,0,0,1,0,0,0,0,0,0
UMD-16,0,0,0,0,0,1,0,0,0,0,0,0,0
UMD-BEN WHONG,0,0,0,0,0,0,0,1,0,0,0,0,0
UMD-MELISSA SMITH,0,0,0,0,2,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,0,1,0,0,0,0,0,0,0
UVA-HEATHER HOLMAN,0,0,0,0,0,0,0,0,0,0,1,0,0
UVA-LANE BURGESS,0,0,0,0,0,2,0,0,0,0,0,0,0
UVA-UNK,0,0,0,0,1,0,0,0,0,1,0,0,0
