,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-MICHAEL JOHNSTON,3,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-ADRIENNE DEMOSS,2,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,1,2,0,0,0,0,0,0,0,0,0,0,0
TAMU-RANDI DORAN,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-MALIK DOUGLAS,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,1,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,4,2,0,0,0,0,0,0,0,1,0,0
TAMU-CAMERON VILLAMIL,0,1,0,1,0,0,0,0,0,1,0,0,0
TAMU-MIGUEL SOBARZO,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,0,1,1,1,0,0,1,0,0,0,0,0,0
TAMU-NATHON SANCHEZ,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-CARLY JORDAN,0,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,0,1,0,0,0,0,0,0
