,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-DAVIS ROE,3,2,1,1,0,0,1,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,2,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,1,0,0,0,0,0,0,1,0,0,0,0
TEXAS-CAROLINE TAO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,1,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-COLE BURKE,1,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,0,0,2,0,0,2,0,0,0,1,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,1,1,0,0,0,0,0,0,0,0,0,0
TAMU-MILES TRAVIS,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-SAMUEL SOBARZO,0,0,0,0,0,0,0,0,0,0,1,0,0
TEXAS-JACK WANG,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,1,1,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,2,0,0,0,0,0,0
