,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-JOHN ANDERSON,5,2,0,1,0,0,0,0,0,0,0,0,0
TXST-TJ MARTINEZ,5,2,0,1,0,1,0,0,0,0,1,0,0
TEXAS-ERIN MCBRIDE,5,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,4,2,0,3,0,0,0,0,0,0,0,0,0
TXST-STEPHEN VIGIL,4,1,2,1,0,0,2,0,0,0,0,0,0
TEXAS-NICK MARINO,2,5,0,1,0,0,0,0,0,0,1,0,0
TEXAS-CULLEN FRIDAY,2,0,1,2,0,0,1,0,0,0,0,0,0
TXST-TIM NGUYEN,1,3,0,1,0,0,0,0,0,0,0,0,0
TXST-ABBY LUM,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,1,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-JACOB DOSTAL,0,1,2,1,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,4,1,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,4,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-71,0,0,0,0,1,1,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0,1
TXST-KRIS DELAFUENTE,0,0,0,0,3,1,0,0,0,1,1,1,0
TXST-RYAN NAWROCKI,0,0,0,0,1,1,0,0,0,0,0,0,0
